courseName,courseURI,courseSubject,courseNumber
DISTRIBUTED SYSTEM DESIGN,file:///Users/jatin/workspace/roboprof/data#9537745034,COMP,6231
MASTER S RESEARCH AND THESIS,file:///Users/jatin/workspace/roboprof/data#4459831727,COMP,7921
SEL TOP-THEORETICAL COMP SCI,file:///Users/jatin/workspace/roboprof/data#3727946580,COMP,739
PATTERN RECOGNITION,file:///Users/jatin/workspace/roboprof/data#8809304974,COMP,6731
Object-Oriented Programming I,file:///Users/jatin/workspace/roboprof/data#3299392093,COMP,248
COMP. ORGANIZ N+ASSEMB.LANG.,file:///Users/jatin/workspace/roboprof/data#3250001734,COMP,5201
Artificial Intelligence,file:///Users/jatin/workspace/roboprof/data#6369612684,COMP,472
Operating Systems,file:///Users/jatin/workspace/roboprof/data#8212689885,COMP,346
INTELLIGENT SYSTEMS,file:///Users/jatin/workspace/roboprof/data#6736519082,COMP,6741
Advanced Game Development,file:///Users/jatin/workspace/roboprof/data#4418644889,COMP,476
Information Retrieval and Web Search,file:///Users/jatin/workspace/roboprof/data#2204919822,COMP,479
NATURAL LANGUAGE ANALYSIS,file:///Users/jatin/workspace/roboprof/data#4154914200,COMP,6751
PROGRAM G + PROBLEM SOLVING,file:///Users/jatin/workspace/roboprof/data#5040508371,COMP,5481
TOPICS IN COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#9722352526,COMP,498
DB SYSTEMS PRINCIPLES,file:///Users/jatin/workspace/roboprof/data#3307021929,COMP,7531
System Software Design,file:///Users/jatin/workspace/roboprof/data#9646870253,COMP,444
NUMERIC ANALY/NONLINEAR EQUA,file:///Users/jatin/workspace/roboprof/data#8382156185,COMP,6361
DISCRETE STR.+FORMAL LANG.,file:///Users/jatin/workspace/roboprof/data#1297943430,COMP,5361
Operating Systems,file:///Users/jatin/workspace/roboprof/data#3806497307,COMP,346
FOUNDATIONS/SEMANTIC WEB,file:///Users/jatin/workspace/roboprof/data#3317872063,COMP,6531
PRINCIPLES/DATA STRUCTURES,file:///Users/jatin/workspace/roboprof/data#7463053398,COMP,5511
NUMERIC ANALY/NONLINEAR EQUA,file:///Users/jatin/workspace/roboprof/data#1627630838,COMP,6361
DOCTORAL RESEARCH AND THESIS,file:///Users/jatin/workspace/roboprof/data#7944386849,COMP,8901
APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#2963518302,COMP,6721
TOPICS/COMPUTER SCIENCE II,file:///Users/jatin/workspace/roboprof/data#2330930430,COMP,790
GRADUATE SEMINAR-COMP.SC.,file:///Users/jatin/workspace/roboprof/data#1384708966,COMP,6961
TOPICS IN COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#4418800314,COMP,499
COMPUTER VISION,file:///Users/jatin/workspace/roboprof/data#2558942396,COMP,6341
Data Communication and Computer Networks,file:///Users/jatin/workspace/roboprof/data#8492233587,COMP,445
Introduction to Game Development,file:///Users/jatin/workspace/roboprof/data#6678904888,COMP,376
PARALLEL ALGORITHMS+ARCHIT E,file:///Users/jatin/workspace/roboprof/data#1508178112,COMP,7241
FILES AND DATABASES,file:///Users/jatin/workspace/roboprof/data#7137759254,COMP,5531
Mathematics for Computer Science,file:///Users/jatin/workspace/roboprof/data#4023111066,COMP,232
Databases,file:///Users/jatin/workspace/roboprof/data#6536553443,COMP,353
VLSI Circuit Design,file:///Users/jatin/workspace/roboprof/data#6464381389,COMP,6511
TOPICS IN COMP. SCIENCE II,file:///Users/jatin/workspace/roboprof/data#1635545477,COMP,791
Introduction to Game Development,file:///Users/jatin/workspace/roboprof/data#9090596305,COMP,376
Object-Oriented Programming II,file:///Users/jatin/workspace/roboprof/data#4707561960,COMP,249
PRINCIPLES/DATA STRUCTURES,file:///Users/jatin/workspace/roboprof/data#6618712633,COMP,5511
SCIENTIFIC COMPUTATION,file:///Users/jatin/workspace/roboprof/data#8782962764,COMP,6351
System Hardware,file:///Users/jatin/workspace/roboprof/data#9902321202,COMP,228
GEOMETRIC MODLEING AND PROCESSING,file:///Users/jatin/workspace/roboprof/data#5667304500,COMP,438
Animation for Computer Games,file:///Users/jatin/workspace/roboprof/data#9673812705,COMP,477
Introduction to Computing,file:///Users/jatin/workspace/roboprof/data#1677604014,COMP,201
Fundamentals of Programming,file:///Users/jatin/workspace/roboprof/data#2902898573,COMP,218
Pattern Recognition,file:///Users/jatin/workspace/roboprof/data#4861889036,COMP,473
SELECTED TOPICS IN SOFTWARE,file:///Users/jatin/workspace/roboprof/data#6574835583,COMP,749
Fundamentals of Programming,file:///Users/jatin/workspace/roboprof/data#5443418819,COMP,218
Program and Problem Solving,file:///Users/jatin/workspace/roboprof/data#3177497737,COMP,6481
System Software Design,file:///Users/jatin/workspace/roboprof/data#6674492139,COMP,444
Operating Systems,file:///Users/jatin/workspace/roboprof/data#6812265700,COMP,346
PROJECT AND REPORT II,file:///Users/jatin/workspace/roboprof/data#7226946805,COMP,6981
Elementary Numerical Methods,file:///Users/jatin/workspace/roboprof/data#2456925832,COMP,361
FILES AND DATABASES,file:///Users/jatin/workspace/roboprof/data#9869937850,COMP,5531
Object-Oriented Programming II,file:///Users/jatin/workspace/roboprof/data#5915476166,COMP,249
Computer Science Industrial Experience Reflective Learning II,file:///Users/jatin/workspace/roboprof/data#5131205275,COMP,208
SEL TOPICS-INFORMATION MANA,file:///Users/jatin/workspace/roboprof/data#6298502958,COMP,759
Immersive Technologies,file:///Users/jatin/workspace/roboprof/data#1382577405,COMP,475
Parallel Programming,file:///Users/jatin/workspace/roboprof/data#1231318087,COMP,428
ADVANCED COMPUTER GRAPHICS,file:///Users/jatin/workspace/roboprof/data#7738118880,COMP,6761
Introduction to Software Engineering,file:///Users/jatin/workspace/roboprof/data#1424209160,COMP,354
Computer Science Project II,file:///Users/jatin/workspace/roboprof/data#6366188485,COMP,492
TOPICS/COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#1515216524,COMP,691
COMP 6781 Statistical Natural Language Processing,file:///Users/jatin/workspace/roboprof/data#1329362434,COMP,6781
Object-Oriented Programming II,file:///Users/jatin/workspace/roboprof/data#4327509671,COMP,249
ALGORITHM DESIGN TECHNIQUES,file:///Users/jatin/workspace/roboprof/data#5268338965,COMP,6651
COMP 6781 Statistical Natural Language Processing,file:///Users/jatin/workspace/roboprof/data#6423790074,COMP,6781
Data Structures and Algorithms,file:///Users/jatin/workspace/roboprof/data#9060229995,COMP,352
Object-Oriented Programming I,file:///Users/jatin/workspace/roboprof/data#1677492070,COMP,248
PRINCIPLES/DATA STRUCTURES,file:///Users/jatin/workspace/roboprof/data#7384765905,COMP,5511
COMBINATORIAL ALGORITHMS,file:///Users/jatin/workspace/roboprof/data#8482721457,COMP,6661
Probability and Statistics for Computer Science,file:///Users/jatin/workspace/roboprof/data#3651177428,COMP,233
Animation for Computer Games,file:///Users/jatin/workspace/roboprof/data#4470998266,COMP,477
Machine Learning,file:///Users/jatin/workspace/roboprof/data#9424929307,COMP,432
Advanced Game Development,file:///Users/jatin/workspace/roboprof/data#7041754383,COMP,476
COMPUTER ARCHITECTURE,file:///Users/jatin/workspace/roboprof/data#1693865215,COMP,5261
Object-Oriented Programming II,file:///Users/jatin/workspace/roboprof/data#1012574303,COMP,249
LARGE-SCALE OPTIMIZATION,file:///Users/jatin/workspace/roboprof/data#6786136487,COMP,6631
FOUNDATIONS/SEMANTIC WEB,file:///Users/jatin/workspace/roboprof/data#2928807584,COMP,6531
Image Processing,file:///Users/jatin/workspace/roboprof/data#9784184568,COMP,478
GEOMETRIC MODLEING AND PROCESSING,file:///Users/jatin/workspace/roboprof/data#2838908909,COMP,438
ADVANCED GAME DEVELOPMENT,file:///Users/jatin/workspace/roboprof/data#5204041644,COMP,6331
COMBINATORICS,file:///Users/jatin/workspace/roboprof/data#9918966553,COMP,339
APPLIED ARTIFICIAL INTELLIGENCE,file:///Users/jatin/workspace/roboprof/data#6272216589,COMP,6721
ADV IMAGE PROC,file:///Users/jatin/workspace/roboprof/data#7958968399,COMP,7781
DB SYSTEMS PRINCIPLES,file:///Users/jatin/workspace/roboprof/data#4658121973,COMP,7531
Introduction to Theoretical Computer Science,file:///Users/jatin/workspace/roboprof/data#3565035305,COMP,335
PATTERN RECOGNITION,file:///Users/jatin/workspace/roboprof/data#5692094747,COMP,6731
Image Processing,file:///Users/jatin/workspace/roboprof/data#5559793409,COMP,6771
ADVANCED PROGRAMMING,file:///Users/jatin/workspace/roboprof/data#9854831868,COMP,5421
DATABASE DESIGN,file:///Users/jatin/workspace/roboprof/data#3578020485,COMP,451
Compiler Design,file:///Users/jatin/workspace/roboprof/data#8308918575,COMP,442
Bioinformatics Databases and Systems,file:///Users/jatin/workspace/roboprof/data#8065007362,COMP,6821
INFO. RETRIEVAL & WEB SEARCH,file:///Users/jatin/workspace/roboprof/data#3954291260,COMP,6791
OPERATING SYSTEMS,file:///Users/jatin/workspace/roboprof/data#6659440437,COMP,5461
Data Analytics,file:///Users/jatin/workspace/roboprof/data#2949327892,COMP,333
Design and Analysis of Algorithms,file:///Users/jatin/workspace/roboprof/data#5409864966,COMP,465
PARALLEL PROGRAMMING,file:///Users/jatin/workspace/roboprof/data#8390050949,COMP,6281
IMMERSIVE TECHNOLOGIES,file:///Users/jatin/workspace/roboprof/data#6326347732,COMP,6371
Image Processing,file:///Users/jatin/workspace/roboprof/data#9341172858,COMP,6771
Object-Oriented Programming II,file:///Users/jatin/workspace/roboprof/data#5531067649,COMP,249
ANIMATION FOR COMPUTER GAMES,file:///Users/jatin/workspace/roboprof/data#6647558324,COMP,6311
Intelligent Systems,file:///Users/jatin/workspace/roboprof/data#2073366186,COMP,474
System Hardware,file:///Users/jatin/workspace/roboprof/data#2624828280,COMP,228
TOPICS/COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#1343170466,COMP,691
ADV.DATABASE TECH. AND APPL.,file:///Users/jatin/workspace/roboprof/data#5473479340,COMP,6521
ANIMATION FOR COMPUTER GAMES,file:///Users/jatin/workspace/roboprof/data#5305810085,COMP,6311
TOPICS IN COMPUTER SCIENCE,file:///Users/jatin/workspace/roboprof/data#2321832478,COMP,498
Information Retrieval and Web Search,file:///Users/jatin/workspace/roboprof/data#1444760258,COMP,479
BIOINFORMATICS ALGORITHMS,file:///Users/jatin/workspace/roboprof/data#2633522747,COMP,6811
Computational Biology Team Project,file:///Users/jatin/workspace/roboprof/data#3166467350,COMP,493
System Hardware,file:///Users/jatin/workspace/roboprof/data#3957934589,COMP,228
COMP.ANAL.NATURAL LANG.TEST,file:///Users/jatin/workspace/roboprof/data#9651833587,COMP,690
DOCTORAL RESEARCH AND THESIS,file:///Users/jatin/workspace/roboprof/data#2837073638,COMP,890
Introduction to Software Engineering,file:///Users/jatin/workspace/roboprof/data#1933999874,COMP,354
INTRO/KNOWLEDGE-BASE SYSTEMS,file:///Users/jatin/workspace/roboprof/data#8350392901,COMP,6591
Parallel Programming,file:///Users/jatin/workspace/roboprof/data#8092526660,COMP,428
Computer Graphics,file:///Users/jatin/workspace/roboprof/data#4566830071,COMP,371
Introduction to Theoretical Computer Science,file:///Users/jatin/workspace/roboprof/data#7254127809,COMP,335
ADVANCED COMPUTER GRAPHICS,file:///Users/jatin/workspace/roboprof/data#5384684664,COMP,6761
ELEMENTARY NUMERICAL METHODS,file:///Users/jatin/workspace/roboprof/data#4263390135,COMP,5611
Digital Geometric Modelling,file:///Users/jatin/workspace/roboprof/data#4961849195,COMP,6381
Data Communication and Computer Networks,file:///Users/jatin/workspace/roboprof/data#7563463874,COMP,445
MACHINE LEARNING,file:///Users/jatin/workspace/roboprof/data#9069866562,COMP,6321
Compiler Design,file:///Users/jatin/workspace/roboprof/data#3971318002,COMP,442
"ADVANCED PROGRAM DESIGN, C++",file:///Users/jatin/workspace/roboprof/data#2757105759,COMP,345
PROGRAM G + PROBLEM SOLVING,file:///Users/jatin/workspace/roboprof/data#3413847728,COMP,5481
Honours Seminar,file:///Users/jatin/workspace/roboprof/data#7510486850,COMP,495
ADVANCED PROGRAMMING,file:///Users/jatin/workspace/roboprof/data#4467594895,COMP,5421
Computer Architecture,file:///Users/jatin/workspace/roboprof/data#5635292091,COMP,326
Intelligent Systems,file:///Users/jatin/workspace/roboprof/data#3100155671,COMP,474
DISCRETE STR.+FORMAL LANG.,file:///Users/jatin/workspace/roboprof/data#4583485748,COMP,5361
COMPILER DESIGN,file:///Users/jatin/workspace/roboprof/data#7843900479,COMP,6421
INTRODUCTION TO DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#8523427053,COMP,433
DATABASE DESIGN,file:///Users/jatin/workspace/roboprof/data#6094317177,COMP,451
Introduction to Theoretical Computer Science,file:///Users/jatin/workspace/roboprof/data#2339666558,COMP,335
COMPUTER NETWORKS + PROTOCOL,file:///Users/jatin/workspace/roboprof/data#8175569164,COMP,6461
TOOLS+TECHNIQUES / SW ENGR.,file:///Users/jatin/workspace/roboprof/data#8560652520,COMP,5541
ADVANCED GAME DEVELOPMENT,file:///Users/jatin/workspace/roboprof/data#7764769664,COMP,6331
Techniques in Symbolic Computation,file:///Users/jatin/workspace/roboprof/data#4741321065,COMP,367
Machine Learning,file:///Users/jatin/workspace/roboprof/data#1864233463,COMP,432
ADV TOPICS MICROPROC SYSTEMS,file:///Users/jatin/workspace/roboprof/data#7513832647,COMP,427
Program and Problem Solving,file:///Users/jatin/workspace/roboprof/data#5461542596,COMP,6481
Design and Analysis of Algorithms,file:///Users/jatin/workspace/roboprof/data#7458334727,COMP,465
System Hardware,file:///Users/jatin/workspace/roboprof/data#3852567770,COMP,228
COMPARAT.STUDY/PROGRAM.LANG.,file:///Users/jatin/workspace/roboprof/data#5228765637,COMP,6411
PARALLEL PROGRAMMING,file:///Users/jatin/workspace/roboprof/data#2660163459,COMP,6281
VLSI Circuit Design,file:///Users/jatin/workspace/roboprof/data#3669726621,COMP,6511
COMP. ORGANIZ N+ASSEMB.LANG.,file:///Users/jatin/workspace/roboprof/data#6767327338,COMP,5201
Data Analytics,file:///Users/jatin/workspace/roboprof/data#2715252909,COMP,333
TOOLS+TECHNIQUES / SW ENGR.,file:///Users/jatin/workspace/roboprof/data#1718727001,COMP,5541
COMPUTATIONAL GEOMETRY,file:///Users/jatin/workspace/roboprof/data#9330080992,COMP,6711
Principles of Programming Languages,file:///Users/jatin/workspace/roboprof/data#8893189525,COMP,348
Image Processing,file:///Users/jatin/workspace/roboprof/data#8744315142,COMP,478
ADV. ANALYSIS OF ALOGARITHMS,file:///Users/jatin/workspace/roboprof/data#1520097383,COMP,7651
COMPUTER VISION,file:///Users/jatin/workspace/roboprof/data#4557774880,COMP,425
COMPUTER NETWORKS + PROTOCOL,file:///Users/jatin/workspace/roboprof/data#8193788882,COMP,6461
Computer Science Project I,file:///Users/jatin/workspace/roboprof/data#9423578479,COMP,490
COMPUTER ARCHITECTURE,file:///Users/jatin/workspace/roboprof/data#4106864463,COMP,5261
Multicore Programming,file:///Users/jatin/workspace/roboprof/data#2996617430,COMP,426
PROGRAM G + PROBLEM SOLVING,file:///Users/jatin/workspace/roboprof/data#3768166910,COMP,5481
COMPUTER VISION,file:///Users/jatin/workspace/roboprof/data#5187584567,COMP,425
INTRODUCTION TO DEEP LEARNING,file:///Users/jatin/workspace/roboprof/data#8985644014,COMP,433
Probability and Statistics for Computer Science,file:///Users/jatin/workspace/roboprof/data#1562261633,COMP,233
APPL./SYMBOLIC+ALGEB.COMPU N,file:///Users/jatin/workspace/roboprof/data#7055037084,COMP,6611
INFO. RETRIEVAL & WEB SEARCH,file:///Users/jatin/workspace/roboprof/data#3655693517,COMP,6791
INTRO/KNOWLEDGE-BASE SYSTEMS,file:///Users/jatin/workspace/roboprof/data#8255613946,COMP,6591
SELECT TOP-DIGITAL SYSTEMS,file:///Users/jatin/workspace/roboprof/data#7733531237,COMP,729
COMPILER DESIGN,file:///Users/jatin/workspace/roboprof/data#7059322101,COMP,6421
INTELLIGENT SYSTEMS,file:///Users/jatin/workspace/roboprof/data#1709075924,COMP,6741
Artificial Intelligence,file:///Users/jatin/workspace/roboprof/data#8518571405,COMP,472
Computer Graphics,file:///Users/jatin/workspace/roboprof/data#1648607809,COMP,371
Program and Problem Solving,file:///Users/jatin/workspace/roboprof/data#6090283212,COMP,6481
DISCRETE STR.+FORMAL LANG.,file:///Users/jatin/workspace/roboprof/data#5594604034,COMP,5361
Databases,file:///Users/jatin/workspace/roboprof/data#1742533362,COMP,353
MACHINE LEARNING,file:///Users/jatin/workspace/roboprof/data#2072852281,COMP,6321
MASTER S RESEARCH AND THESIS,file:///Users/jatin/workspace/roboprof/data#9796800048,COMP,7941
Project and Report,file:///Users/jatin/workspace/roboprof/data#6705103031,COMP,6971
SEL TOPICS-COMP APPLICATIONS,file:///Users/jatin/workspace/roboprof/data#7817468616,COMP,779
COMBINATORICS,file:///Users/jatin/workspace/roboprof/data#9760444320,COMP,339
COMPUTER VISION,file:///Users/jatin/workspace/roboprof/data#1593946354,COMP,6341
Object-Oriented Programming I,file:///Users/jatin/workspace/roboprof/data#9918197023,COMP,248
