courseNo,competency,lectureMaterial,topicUri
COMP 6741,MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Definite_matrix
COMP 6741,ACCEPT,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Accept_(band)
COMP 6741,IDF,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Israel_Defense_Forces
COMP 6741,LANGUAGE LOG,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Language_Log
COMP 6741,FACETED SEARCH,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Faceted_search
COMP 6741,SCIPY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/SciPy
COMP 6741,UNSUPERVISED LEARNING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Unsupervised_learning
COMP 6741,VECTOR,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Array_data_structure
COMP 6741,AM,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Amplitude_modulation
COMP 6741,FEATURE EXTRACTION,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Feature_extraction
COMP 6741,JAVA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Java_virtual_machine
COMP 6741,CLOUD,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Cloud_computing
COMP 6741,NEWSGROUP,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Usenet_newsgroup
COMP 6741,AMAZON,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Amazon_rainforest
COMP 6741,CENTROID,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Centroid
COMP 6741,ECOSYSTEM,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Ecosystem
COMP 6741,DOG,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Dog
COMP 6741,NATURAL LANGUAGE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Natural_language_processing
COMP 6741,K-MEANS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/K-means_clustering
COMP 6741,PYTHON,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Monty_Python
COMP 6741,K-MEANS CLUSTERING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/K-means_clustering
COMP 6741,OPEN SOURCE ENTERPRISE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Open_Source_Enterprise
COMP 6741,VARIANCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Variance
COMP 6741,RESTFUL,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Representational_state_transfer
COMP 6741,MATPLOTLIB,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Matplotlib
COMP 6741,ARORA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Arora
COMP 6741,FEATURE VECTOR,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Feature_(machine_learning)
COMP 6741,APACHE LICENSE 2.0,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Apache_License
COMP 6741,DATA VISUALIZATION,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Data_and_information_visualization
COMP 6741,INTERNACIONAL,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Sport_Club_Internacional
COMP 6741,PREDICTIVE MODELING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Predictive_modelling
COMP 6741,PATTERN RECOGNITION,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Pattern_recognition
COMP 6741,NATURAL LANGUAGE PROCESSING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Natural_language_processing
COMP 6741,NATURAL LANGUAGE PROCESSING (NLP),file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Natural_language_processing
COMP 6741,API,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/API
COMP 6741,COMPUTER VISION,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Computer_vision
COMP 6741,CANADA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Canada
COMP 6741,NUMPY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/NumPy
COMP 6741,DIMENSIONALITY REDUCTION,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Dimensionality_reduction
COMP 6741,LOGIC,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Boolean_algebra
COMP 6741,USENET,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Usenet
COMP 6741,SCATTER PLOT,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Scatter_plot
COMP 6741,PREDICTIVE ANALYTICS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Predictive_analytics
COMP 6741,SIMILARITY MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/lab05.txt,http://dbpedia.org/resource/Similarity_measure
COMP 6741,ALGORITHM,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Algorithm
COMP 6741,SYSTEM 3,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Acorn_Eurocard_systems
COMP 6741,RATINGS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Nielsen_ratings
COMP 6741,MACHINE LEARNING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Machine_learning
COMP 6741,CATION,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Ion
COMP 6741,FN,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Karyotype
COMP 6741,MACHINE LEARNING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Supervised_learning
COMP 6741,INTELLIGENT SYSTEMS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Artificial_intelligence
COMP 6741,QI,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/worksheet05.txt,http://dbpedia.org/resource/Qi
COMP 6741,READING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Reading
COMP 6741,VECTOR SPACE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Vector_space
COMP 6741,RICH,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Patricia_Vickers-Rich
COMP 6741,IDF,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Israel_Defense_Forces
COMP 6741,CLEOPATRA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Cleopatra
COMP 6741,VECTOR SPACE MODEL,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Vector_space_model
COMP 6741,INVERSE DOCUMENT FREQUENCY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Tf–idf
COMP 6741,TF-IDF,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Tf–idf
COMP 6741,CAESAR,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/CAESAR_self-propelled_howitzer
COMP 6741,IIN,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Toshiyori
COMP 6741,COSINE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Sine_and_cosine
COMP 6741,EUCLIDEAN DISTANCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Euclidean_distance
COMP 6741,SCHÜTZE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Schütze
COMP 6741,SCALAR PRODUCT,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Dot_product
COMP 6741,CAESAR,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Julius_Caesar
COMP 6741,CAMBRIDGE UNIVERSITY PRESS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Cambridge_University_Press
COMP 6741,GOLD STANDARD,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Ground_truth
COMP 6741,MARY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Mary_Shelley
COMP 6741,FOAF,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/FOAF_(ontology)
COMP 6741,COSINE SIMILARITY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Cosine_similarity
COMP 6741,MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Definite_matrix
COMP 6741,MACHINE LEARNING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Machine_learning
COMP 6741,OTHELLO,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Othello
COMP 6741,CALPURNIA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Calpurnia_gens
COMP 6741,SIMILARITY MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Similarity_measure
COMP 6741,ANTHONY JULIUS,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Anthony_Julius
COMP 6741,TEMPEST,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/The_Tempest
COMP 6741,RECOMMENDER SYSTEM,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Recommender_system
COMP 6741,METADATA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Metadata
COMP 6741,HINRICH,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Kirk_Hinrich
COMP 6741,INCIDENCE MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Incidence_matrix
COMP 6741,LAST.FM,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Last.fm
COMP 6741,HAMLET,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Hamlet
COMP 6741,USER MODELING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/User_modeling
COMP 6741,NON-BINARY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Non-binary_gender
COMP 6741,DOT PRODUCT,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Dot_product
COMP 6741,MATHEMATICAL MODEL,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Mathematical_model
COMP 6741,CAMBRIDGE UNIVERSITY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Cambridge_University_Press
COMP 6741,AMAZON,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Amazon_rainforest
COMP 6741,MACBETH,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Macbeth
COMP 6741,E-COMMERCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/E-commerce
COMP 6741,OPEN KNOWLEDGE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Open_knowledge
COMP 6741,JOHN BERRYMAN,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/John_Berryman
COMP 6741,F-MEASURE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/F-score
COMP 6741,INTERNET,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Internet
COMP 6741,CONCORDIA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Concordia_University
COMP 6741,BASEBALL,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Baseball
COMP 6741,GROUND TRUTH,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Ground_truth
COMP 6741,COLLABORATIVE TAGGING,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Folksonomy
COMP 6741,ONTOLOGIES,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/5_RecommenderSystems/slides05.txt,http://dbpedia.org/resource/Ontology
COMP 6741,CLAUSE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Clause
COMP 6741,CONCORDIA UNIVERSITY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Concordia_University
COMP 6741,TUPLE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Tuple
COMP 6741,SPARQL,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/SPARQL
COMP 6741,COSINE SIMILARITY,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Cosine_similarity
COMP 6741,E-COMMERCE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/E-commerce
COMP 6741,SCIKIT-LEARN,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Scikit-learn
COMP 6741,PERSONALIZED MEDICINE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Personalized_medicine
COMP 6741,SIMILARITY MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Similarity_measure
COMP 6741,MOODLE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Moodle
COMP 6741,ARRAY DATA STRUCTURE,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Array_data_structure
COMP 6741,MATRIX,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Definite_matrix
COMP 6741,PYTHON,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Monty_Python
COMP 6741,DBPEDIA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/DBpedia
COMP 6741,LINKED DATA,file:///Users/jatin/workspace/roboprof/data#Datasets/ProcessedTextFiles/COMP6741/lectures/6_MachineLearningforIntelligentSystems/lab06.txt,http://dbpedia.org/resource/Linked_data
