courseURI,courseName,courseSubject,courseNumber,universityName,universityURI
file:///Users/jatin/workspace/roboprof/data#5118789797,NONLINEAR SYSTEMS,ENGR,6141,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6629886618,Market Design,ECON,440,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7003256611,ALTERNATIVE INVESTMENTS,GIIM,636,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7495328437,CAPSTONE SEMINAR AND PROJECT,MUSI,401,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5355533657,Creative Process I,DANC,201,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8718557705,Neural Control of Human Movement,EXCI,355,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1069386461,The Thought of Karl Marx,SOCI,429,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9381036673,Canadian Jewish Literature,RELI,332,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3125095484,ADV.STAT. APPR. TO QUALITY,INSE,6220,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8725831862,Political Sociology,SOCI,333,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2187495146,Practicum in the Elementary School,ARTE,421,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3887051488,MASTER'S LEVEL STUDIES PHOTOGRAPHY II,INDI,603,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7006127232,THEORY DEV&RES-ED MEDIA I-VI,ETEC,842,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5855298061,Introduction to Digital Communications,ELEC,462,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1058926095,Natural Resource Economics,ECON,496,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9363476592,MGMT OF INT'L FINANCIAL INST,FINA,382,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1467476436,Selected Topics in Linguistics,LING,298,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8178253815,SEMINAR IN NUMBER THEORY,MAST,898,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8150996642,DOCTORAL LEVEL STUDIES,INDI,822,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1448937326,Special Topics in Computation Arts,CART,398,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6600284779,Art in Early Childhood I,ARTE,201,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7209101050,The Self in Social Context,PSYC,420,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3082035258,INTRODUCTION TO ELEMENTS OF PRODUCTION,DFTT,212,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3276928050,TOPICS IN RELIGION & SOCIETY,RELI,638,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9908375701,Performance Creation Studio,PERC,390,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6318849454,Culture and Communication,LOYC,340,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4019055134,Studies in Literary Criticism,ENGL,669,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1292181789,DIRECTED STUDIES,HUMA,810,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2988313944,SPEC TOP:STUD-MODERN LANG I,MODL,300,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2668141885,Sociology of Education,ESTU,640,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6327345873,Marxism,PHIL,385,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1148558595,Perspectives on the Teaching of Spanish,SPAN,455,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8529096196,Littératures africaine et antillaise,FLIT,364,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1583228784,CHAMBER CHOIR III,MPER,434,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7731921866,Topics in Senses and Perception,CART,358,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7330549500,Digital Systems Design II,COEN,313,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3624462513,Ending Sexual Violence,WSDB,401,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1624824859,BIOINFORMATICS,BIOL,510,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7636534171,Independent Study I,ARTX,491,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9665426447,INTRO TO SPEC TOPICS IN PHIL,PHIL,291,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6795290610,Internet of Things and 5G Mobile Communications,CEPS,1121EO,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1337019932,Introduction to Microeconomics,ECON,201,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1515835376,"Web, technologies, traduction: théories et critiques",FTRA,568,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4562113301,Homeric Greek,LING,456,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4156847996,"Mental Health and Addictions:  Youth Work Perspectives, Policies and Practices",AHSC,540,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6283943050,Personnel Psychology,PSYC,372,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5686719650,Special Topics in Spanish,SPAN,398,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9310384272,ASA and Aural Skills I,EAST,200,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6613839637,Psychological Intervention Models,PSYC,443,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7128641534,Sound I,FMPR,340,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9242522105,"ADVANCED PROGRAM DESIGN, C++",COMP,345,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3597138254,Technologies de l'information et de la communication (TIC) et enseignement du FLS,FRAA,502,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2558177895,"NSERC Funding Info Session for Masters (Thesis), PhD students and Postdocs",GPLL,463,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6798300166,ART AND GLOBALIZATION,ARTH,643,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2396330500,ADV IMAGE PROC,COMP,7781,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3179183558,Elements of Multimedia Conception,DFTT,341,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3259687386,"United States, 1877-1924",HIST,324,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9710779164,RESEARCH THESIS,MSCA,699,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2150003225,SPEC TOPICS IN ART EDUCATION,ARTE,303,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5614389474,Stories in Judaism,RELI,333,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7206941535,Religion and Sexuality,RELI,380,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6916308562,ROBOTIC MANIP. II: CONTROL,ENGR,7401,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6974508747,Langue française : niveaux intermédiaires I et II,FRAN,213,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8652217628,ALTERNATIVE MEDIA,COMS,886,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8564777613,Food and Culture,ANTH,252,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6881855300,Communication Media:  Moving Images I,COMS,284,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9495255042,Conducting an Acting Workshop,ACTT,481,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9848230894,Cardiopulmonary Exercise Assessment and Interpretation in Chronic Disease Populations,KCEP,448,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2851563240,Employment Law,MANA,479,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9489880899,Thesis - Field Research,ANTH,6920,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5243511457,Creating Figures and Tables with Excel,GPLL,271,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4635214038,Political Sociology,SCPA,333,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5753250648,Advanced Elements of Production,SCEN,470,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1557947299,Law and Ethics in Journalism,JOUR,216,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8055356516,ELEC. ENG. PROD DESIGN PROJ.,ELEC,390,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2680861619,Phenomenology,PHIL,649,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5348395024,The Language of the Web,DART,449,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5212758709,SELCTED TOPICS IN HISTORY,HISZ,298,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7063892092,Advanced Topics in Philosophy,PHIL,498,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3298225468,INDEPENDENT STUDY IN ENGLISH LITERATURE,ENGL,803,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3045597185,Rebellion in Ireland and the Canadas,IRST,412,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9567339294,Étude d'un sujet particulier,FLIT,298,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8518189720,ASPECTS/HISTORY OF PRINT,ARTH,263,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8394894343,Stylistique avancée,FRAA,430,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9276563578,AEROSPACE CASE STUDY 1,MECH,6961,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7196698989,SELECTED TOPICS IN PHYSICS,PHYS,398,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1157613673,Selected Topics in Dynamical Systems,MAST,865,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4719619283,HIST/HINDU THGHT/INSTITUT'NS INTERMED SANSKRIT,RELI,614S,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3553747397,DOCTORAL LEVEL STUDIES,INDI,898,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9671442624,SPEC DOCTORAL LEVEL STUDIES,SPEC,836,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8494878640,TOPICS/INDUSTRIAL ENGG.,INDU,498,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5484037240,ADVANCED TOPICS IN ADED,ADIP,589,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8600341033,Managing People in Organizations,GDBA,533,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4019453162,Regional Economics,ECON,593,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4952019913,SEL TOPICS-SOC RESP-SCIENCE,INTE,461,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9695445448,Media and New Technology,COMS,355,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3078574881,COMPARATIVE PUBLIC ADMIN.,POLI,622,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6730949527,TOPICS IN MATH & STATS,MAST,397,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2377958926,THESIS,SOCI,692,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4900366000,Play in Childhood Settings,EDUC,304,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8699422543,Littérature des femmes au Québec,FLIT,373,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3229940150,VR Bootcamp,GPDI,270,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6807375364,Microwave Engineering,ELEC,453,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6264473318,GROUP/FAMILY DRAMA THERAPY,DTHY,604,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2863917554,Supply Chain Management,SCOM,610,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8539531951,DOCTORAL LEVEL STUDIES ADV ELEC/OXID WASTE TREA,INDI,843,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9552044425,Values and Biotechnology,PHIL,429,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1249595560,Building Envelope Design,BLDG,463,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9161568223,CONTEMP.CATHOLIC THOUGHT,RELI,643,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3565680062,Advanced Management Accounting,ACCO,430,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5733768606,Exploring Movement with Children,EDUC,222,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4185128091,Hypnosis and Dissociation,PSYC,444,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3963278460,Working Virtually: Tools & Strategies,GPLD,157,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4520655165,Financial Risk Management,FINA,688,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7945156028,RESEARCH METHODS IN MANAGEMENT: APPLYING QUALITATIVE AND QUANTITATIVE RESEARCH METHODS,ADMI,8501,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2124762805,MANAGERIAL MARKETING: ISSUES AND IMPACTS,ADMI,8301,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6107582759,TOPICS IN SOFTWARE ENGINEERING,SOEN,499,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2483404113,SPECIAL TOPICS IN ART HIST,ART,448,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3172751745,SUSTAINABLE RESOURCE MANAGEM,HENV,625,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8283664785,Build Your ePortfolio with Beginner Wordpress,GPDI,552,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9961015547,Hormones and Behaviour,PSYC,454,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5434687646,Jazz Vocal Repertoire I,JPER,341,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9235592741,Comprehensive Minor Field Tutorial,HIST,877,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9098657024,PRIVATE STUDY BI,MUSI,230,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6280587562,Supervised Internship I,MPER,481,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9837688562,Urban Geography,GEOG,330,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4081010218,Molecular Modelling of Proteins,CHEM,436,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9648936408,Roman Literature,CLAS,212,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2406420138,DIRECTED STUDIES,HUMA,837,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3869010499,TOP/COMPAR RELI & ETHICS,RELI,830,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1306180947,DIAGN.+REHAB./BLDG. ENVELOPE,BLDG,6671,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4022206350,Contemporary Relief and Woodcut I,PRIN,291,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#8752541103,Existentialism,PHIL,387,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1074149256,Mechanical Vibrations,MECH,375,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4393315004,Art Historical Methods,ARTH,300,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7088789581,Geology and Soil Mechanics,BLDG,432,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4722105076,Character and Text,TPER,311,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#3153760135,ADV. COMPUTER ARCHITECTURE,COEN,7741,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2714692660,Science Fiction,ENGL,246,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#4385712887,SELECTED TOPICS IN SOCI B,SOCI,291,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#2069618761,Market Design,ECON,540,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1678394298,DRAWING AND KNOWLEDGE II,DRAW,412,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1153377928,THEMATIC QUESTIONS,ARTH,803,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#6984224885,SELECTED TOPICS IN EDUCATION,EDUC,497,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9196869900,Advanced Studies in Creative Writing,ENGL,429,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#1572513340,Partial Differential Equations,MATH,473,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9148161599,PROF EXP/REFL LEARN II (FA),PRXF,201,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#5108632867,Advanced Elements of Production,DFTT,471,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#9751888513,SOFTWARE-DEFINED NETWORKING,COEN,447,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7087958403,Mapping the Environment,GEOG,260,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
file:///Users/jatin/workspace/roboprof/data#7144863127,DIRECTED STUDIES,GEOG,625,Concordia University,file:///Users/jatin/workspace/roboprof/data#5093975277
